CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeOpponentOwnP;Posesion de balon en campo rival (%);Atlético de Madrid;Total Partido;20,045172219085263;;;;;;;34;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);Villarreal CF;Total Partido;47,45906267645398;;;;;;;64;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);Atlético de Madrid;Total Partido;52,54093732354602;;;;;;;34;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);Villarreal CF;Total Partido;28;;;;;;;64;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);Atlético de Madrid;Total Partido;31;;;;;;;34;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);Villarreal CF;Total Partido;1;;;;;;;64;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);Atlético de Madrid;Total Partido;1;;;;;;;34;11120
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);Villarreal CF;Total Partido;78;;;;;;;64;11120
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);Atlético de Madrid;Total Partido;82;;;;;;;34;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);Villarreal CF;Total Partido;80,96371207614516;;;;;;;64;11120
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);Atlético de Madrid;Total Partido;76,84040838259;;;;;;;34;11120
