CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeOpponentOwnP;Posesion de balon en campo rival (%);Real Valladolid CF;Total Partido;16,383812010443865;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeOpponentOwnP;Posesion de balon en campo rival (%);RCD Espanyol;Total Partido;21,050913838120106;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);Real Valladolid CF;Total Partido;51,272845953002616;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);RCD Espanyol;Total Partido;48,7271540469974;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);Real Valladolid CF;Total Partido;26;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);RCD Espanyol;Total Partido;24;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);Real Valladolid CF;Total Partido;11;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);RCD Espanyol;Total Partido;53;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);Real Valladolid CF;Total Partido;91;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);RCD Espanyol;Total Partido;92;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);Real Valladolid CF;Total Partido;73,96562698917887;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);RCD Espanyol;Total Partido;77,09310113864701;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldMinutes;Posesion balon 1/2 campo propio (minutos);Real Valladolid CF;Total Partido;19;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldMinutes;Posesion balon 1/2 campo propio (minutos);RCD Espanyol;Total Partido;19;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldSeconds;Posesion balon 1/2 campo propio (segundos);Real Valladolid CF;Total Partido;22;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldSeconds;Posesion balon 1/2 campo propio (segundos);RCD Espanyol;Total Partido;11;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsOwnField;Posesion balon 1/2 campo propio (Nº);Real Valladolid CF;Total Partido;63;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsOwnField;Posesion balon 1/2 campo propio (Nº);RCD Espanyol;Total Partido;66;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldP;Posesion balon 1/2 campo rival (%);Real Valladolid CF;Total Partido;26,03437301082113;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldP;Posesion balon 1/2 campo rival (%);RCD Espanyol;Total Partido;22,906898861352982;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldMinutes;Posesion balon 1/2 campo rival (minutos);Real Valladolid CF;Total Partido;6;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldMinutes;Posesion balon 1/2 campo rival (minutos);RCD Espanyol;Total Partido;5;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldSeconds;Posesion balon 1/2 campo rival (segundos);Real Valladolid CF;Total Partido;49;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldSeconds;Posesion balon 1/2 campo rival (segundos);RCD Espanyol;Total Partido;42;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsOpponentField;Posesion balon 1/2 campo rival (Nº);Real Valladolid CF;Total Partido;28;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsOpponentField;Posesion balon 1/2 campo rival (Nº);RCD Espanyol;Total Partido;26;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To15;Posesion balon minuto 0 a minuto 15 (%);Real Valladolid CF;Total Partido;71,48514851485149;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To15;Posesion balon minuto 0 a minuto 15 (%);RCD Espanyol;Total Partido;28,514851485148515;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To30;Posesion balon minuto 0 a minuto 30 (%);Real Valladolid CF;Total Partido;61,243144424131614;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To30;Posesion balon minuto 0 a minuto 30 (%);RCD Espanyol;Total Partido;38,75685557586837;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To45;Posesion balon minuto 0 a minuto 45 (%);Real Valladolid CF;Total Partido;51,888667992047715;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To45;Posesion balon minuto 0 a minuto 45 (%);RCD Espanyol;Total Partido;48,11133200795229;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP1T;Posesión del Balón (%);Real Valladolid CF;Total Partido;52,53731343283582;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP1T;Posesión del Balón (%);RCD Espanyol;Total Partido;47,462686567164184;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To60;Posesion balon minuto 0 a minuto 60 (%);Real Valladolid CF;Total Partido;51,57743785850861;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To60;Posesion balon minuto 0 a minuto 60 (%);RCD Espanyol;Total Partido;48,42256214149139;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To75;Posesion balon minuto 0 a minuto 75 (%);Real Valladolid CF;Total Partido;54,484657749803304;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To75;Posesion balon minuto 0 a minuto 75 (%);RCD Espanyol;Total Partido;45,515342250196696;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To90;Posesion balon minuto 0 a minuto 90 (%);Real Valladolid CF;Total Partido;53,34252239834596;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To90;Posesion balon minuto 0 a minuto 90 (%);RCD Espanyol;Total Partido;46,65747760165403;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShotsMin15;Remates totales minuto 15 (Nº);Real Valladolid CF;Total Partido;3;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShotsMin15;Remates totales minuto 15 (Nº);RCD Espanyol;Total Partido;0;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShotsMin30;Remates totales minuto 30 (Nº);Real Valladolid CF;Total Partido;4;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShotsMin30;Remates totales minuto 30 (Nº);RCD Espanyol;Total Partido;2;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShotsMin45;Remates totales minuto 45 (Nº);Real Valladolid CF;Total Partido;6;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShotsMin45;Remates totales minuto 45 (Nº);RCD Espanyol;Total Partido;2;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShots1T;Remates totales (Nº);Real Valladolid CF;Total Partido;7;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShots1T;Remates totales (Nº);RCD Espanyol;Total Partido;3;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShotsMin60;Remates totales minuto 60 (Nº);Real Valladolid CF;Total Partido;10;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShotsMin60;Remates totales minuto 60 (Nº);RCD Espanyol;Total Partido;5;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShotsMin75;Remates totales minuto 75 (Nº);Real Valladolid CF;Total Partido;12;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShotsMin75;Remates totales minuto 75 (Nº);RCD Espanyol;Total Partido;5;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShotsMin90;Remates totales minuto 90 (Nº);Real Valladolid CF;Total Partido;12;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShotsMin90;Remates totales minuto 90 (Nº);RCD Espanyol;Total Partido;7;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamShots;Remates totales (Nº);Real Valladolid CF;Total Partido;12;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamShots;Remates totales (Nº);RCD Espanyol;Total Partido;10;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamOffensiveDangerousness;"Peligrosidad Ofensiva (puntos xG) ";Real Valladolid CF;Total Partido;0,066715349132816;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamOffensiveDangerousness;"Peligrosidad Ofensiva (puntos xG) ";RCD Espanyol;Total Partido;0,06636062609031797;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamOffensiveSuccess;Aprovechamiento Ofensivo (Goles a favor);Real Valladolid CF;Total Partido;0,19941581040620804;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamOffensiveSuccess;Aprovechamiento Ofensivo (Goles a favor);RCD Espanyol;Total Partido;-0,6636062609031796;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamCentroidGlobalMin15;Centroide colectivo global minuto 15;Real Valladolid CF;Total Partido;53,45;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamCentroidGlobalMin15;Centroide colectivo global minuto 15;RCD Espanyol;Total Partido;39,72;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamCentroidGlobalMin30;Centroide colectivo global minuto 30;Real Valladolid CF;Total Partido;50,26;;;;;;;51;11118
