CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayPenalty1T;Goles a favor B. P. penalti (Nº);Rayo Vallecano;1P;0;;;;;;;43;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayPenalty2T;Goles a favor B. P. penalti (Nº);Real Sociedad;2P;0;;;;;;;47;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayPenalty2T;Goles a favor B. P. penalti (Nº);Rayo Vallecano;2P;0;;;;;;;43;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayThrowIn;Goles a favor B. P. saque de banda (Nº);Real Sociedad;Total Partido;0;;;;;;;47;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayThrowIn;Goles a favor B. P. saque de banda (Nº);Rayo Vallecano;Total Partido;0;;;;;;;43;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayThrowIn1T;Goles a favor B. P. saque de banda (Nº);Real Sociedad;1P;0;;;;;;;47;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayThrowIn1T;Goles a favor B. P. saque de banda (Nº);Rayo Vallecano;1P;0;;;;;;;43;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayThrowIn2T;Goles a favor B. P. saque de banda (Nº);Real Sociedad;2P;0;;;;;;;47;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsSetPlayThrowIn2T;Goles a favor B. P. saque de banda (Nº);Rayo Vallecano;2P;0;;;;;;;43;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsOwnGoal;Goles a favor propia puerta y otros (Nº);Real Sociedad;Total Partido;0;;;;;;;47;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsOwnGoal;Goles a favor propia puerta y otros (Nº);Rayo Vallecano;Total Partido;0;;;;;;;43;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsOwnGoalP;Goles a favor propia puerta y otros (% Total);Real Sociedad;Total Partido;0;;;;;;;47;11117
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsOwnGoalP;Goles a favor propia puerta y otros (% Total);Rayo Vallecano;Total Partido;0;;;;;;;43;11117
