CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);UD Las Palmas;Total Partido;45;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);Sevilla FC;Total Partido;27;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);UD Las Palmas;Total Partido;98;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);Sevilla FC;Total Partido;95;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);UD Las Palmas;Total Partido;45,72390572390573;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);Sevilla FC;Total Partido;78,52644836272042;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldMinutes;Posesion balon 1/2 campo propio (minutos);UD Las Palmas;Total Partido;11;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldMinutes;Posesion balon 1/2 campo propio (minutos);Sevilla FC;Total Partido;20;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldSeconds;Posesion balon 1/2 campo propio (segundos);UD Las Palmas;Total Partido;19;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldSeconds;Posesion balon 1/2 campo propio (segundos);Sevilla FC;Total Partido;47;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsOwnField;Posesion balon 1/2 campo propio (Nº);UD Las Palmas;Total Partido;48;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsOwnField;Posesion balon 1/2 campo propio (Nº);Sevilla FC;Total Partido;67;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldP;Posesion balon 1/2 campo rival (%);UD Las Palmas;Total Partido;54,27609427609427;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldP;Posesion balon 1/2 campo rival (%);Sevilla FC;Total Partido;21,4735516372796;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldMinutes;Posesion balon 1/2 campo rival (minutos);UD Las Palmas;Total Partido;13;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldMinutes;Posesion balon 1/2 campo rival (minutos);Sevilla FC;Total Partido;5;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldSeconds;Posesion balon 1/2 campo rival (segundos);UD Las Palmas;Total Partido;26;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldSeconds;Posesion balon 1/2 campo rival (segundos);Sevilla FC;Total Partido;41;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsOpponentField;Posesion balon 1/2 campo rival (Nº);UD Las Palmas;Total Partido;50;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsOpponentField;Posesion balon 1/2 campo rival (Nº);Sevilla FC;Total Partido;28;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To15;Posesion balon minuto 0 a minuto 15 (%);UD Las Palmas;Total Partido;43,327556325823224;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To15;Posesion balon minuto 0 a minuto 15 (%);Sevilla FC;Total Partido;56,672443674176776;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To30;Posesion balon minuto 0 a minuto 30 (%);UD Las Palmas;Total Partido;49,107142857142854;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To30;Posesion balon minuto 0 a minuto 30 (%);Sevilla FC;Total Partido;50,892857142857146;;;;;;;38;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To45;Posesion balon minuto 0 a minuto 45 (%);UD Las Palmas;Total Partido;52,56045519203414;;;;;;;62;11113
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP0To45;Posesion balon minuto 0 a minuto 45 (%);Sevilla FC;Total Partido;47,439544807965866;;;;;;;38;11113
