CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveDangerousness2T;Peligrosidad Ofensiva Global (Puntos xG);Real Betis;2P;0,0580598327331245;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveDangerousness2T;Peligrosidad Ofensiva Global (Puntos xG);Girona FC;2P;0,15728825563564897;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveDangerousnessDynamic2T;Peligrosidad Ofensiva Juego Dinámico (Puntos xG);Real Betis;2P;0,05457234248105022;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveDangerousnessDynamic2T;Peligrosidad Ofensiva Juego Dinámico (Puntos xG);Girona FC;2P;0,15728825563564897;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccess;Aprovechamiento Ofensivo Global (Goles a favor);Real Betis;Total Partido;-0,3816449688747525;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccess;Aprovechamiento Ofensivo Global (Goles a favor);Girona FC;Total Partido;-0,5791248250752687;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccessDynamic;Aprovechamiento Ofensivo Juego Dinámico (Goles a favor);Real Betis;Total Partido;-1,019990180619061;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccessDynamic;Aprovechamiento Ofensivo Juego Dinámico (Goles a favor);Girona FC;Total Partido;-0,5791248250752687;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccess1T;Aprovechamiento Ofensivo Global (Goles a favor);Real Betis;1P;0,19895335845649242;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccess1T;Aprovechamiento Ofensivo Global (Goles a favor);Girona FC;1P;-0,320818779990077;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccessDynamic1T;Aprovechamiento Ofensivo Juego Dinámico (Goles a favor);Real Betis;1P;-0,528839098289609;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccessDynamic1T;Aprovechamiento Ofensivo Juego Dinámico (Goles a favor);Girona FC;1P;-0,320818779990077;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccess2T;Aprovechamiento Ofensivo Global (Goles a favor);Real Betis;2P;-0,580598327331245;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccess2T;Aprovechamiento Ofensivo Global (Goles a favor);Girona FC;2P;-0,2583060450851917;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccessDynamic2T;Aprovechamiento Ofensivo Juego Dinámico (Goles a favor);Real Betis;2P;-0,49115108232945204;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamOffensiveSuccessDynamic2T;Aprovechamiento Ofensivo Juego Dinámico (Goles a favor);Girona FC;2P;-0,2583060450851917;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoals;Goles a favor (Nº);Real Betis;Total Partido;1;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoals;Goles a favor (Nº);Girona FC;Total Partido;1;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoals1T;Goles a favor (Nº);Real Betis;1P;1;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoals1T;Goles a favor (Nº);Girona FC;1P;0;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoals2T;Goles a favor (Nº);Real Betis;2P;0;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoals2T;Goles a favor (Nº);Girona FC;2P;1;;;;;;;110;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsDynamic;Goles a favor juego dinámico (Nº);Real Betis;Total Partido;0;;;;;;;44;11116
FASE OFENSIVA FINAL (CREACIÓN + FINALIZACIÓN);TeamGoalsDynamic;Goles a favor juego dinámico (Nº);Girona FC;Total Partido;1;;;;;;;110;11116
