CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeOpponentOwnP;Posesion de balon en campo rival (%);Real Madrid;Total Partido;16,31504922644163;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);RCD Mallorca;Total Partido;37,21518987341772;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);Real Madrid;Total Partido;62,784810126582286;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);RCD Mallorca;Total Partido;22;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);Real Madrid;Total Partido;37;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);RCD Mallorca;Total Partido;3;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);Real Madrid;Total Partido;12;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);RCD Mallorca;Total Partido;85;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);Real Madrid;Total Partido;84;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);RCD Mallorca;Total Partido;67,95162509448222;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldP;Posesion balon 1/2 campo propio (%);Real Madrid;Total Partido;57,168458781362;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldMinutes;Posesion balon 1/2 campo propio (minutos);RCD Mallorca;Total Partido;14;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldMinutes;Posesion balon 1/2 campo propio (minutos);Real Madrid;Total Partido;21;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldSeconds;Posesion balon 1/2 campo propio (segundos);RCD Mallorca;Total Partido;59;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOwnFieldSeconds;Posesion balon 1/2 campo propio (segundos);Real Madrid;Total Partido;16;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsOwnField;Posesion balon 1/2 campo propio (Nº);RCD Mallorca;Total Partido;56;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsOwnField;Posesion balon 1/2 campo propio (Nº);Real Madrid;Total Partido;56;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldP;Posesion balon 1/2 campo rival (%);RCD Mallorca;Total Partido;32,04837490551776;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldP;Posesion balon 1/2 campo rival (%);Real Madrid;Total Partido;42,83154121863799;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldMinutes;Posesion balon 1/2 campo rival (minutos);RCD Mallorca;Total Partido;7;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldMinutes;Posesion balon 1/2 campo rival (minutos);Real Madrid;Total Partido;15;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldSeconds;Posesion balon 1/2 campo rival (segundos);RCD Mallorca;Total Partido;4;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsTimeOpponentFieldSeconds;Posesion balon 1/2 campo rival (segundos);Real Madrid;Total Partido;56;;;;;;;45;11114
CONTEXTO DEL PARTIDO;TeamPossessionsOpponentField;Posesion balon 1/2 campo rival (Nº);RCD Mallorca;Total Partido;29;;;;;;;40;11114
CONTEXTO DEL PARTIDO;TeamPossessionsOpponentField;Posesion balon 1/2 campo rival (Nº);Real Madrid;Total Partido;28;;;;;;;45;11114
