CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlayP1T;Derivadas de Balón Parado (%);Athletic Club;1P;6,25;;;;;;;33;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlayP1T;Derivadas de Balón Parado (%);Getafe CF;1P;9,615384615384615;;;;;;;89;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlaySuccessP1T;Derivadas deBalón Parado (% Éxito);Athletic Club;1P;0;;;;;;;33;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlaySuccessP1T;Derivadas deBalón Parado (% Éxito);Getafe CF;1P;0;;;;;;;89;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlayFinishedP1T;Derivadas deBalón Parado  (% Rematadas);Athletic Club;1P;0;;;;;;;33;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlayFinishedP1T;Derivadas deBalón Parado  (% Rematadas);Getafe CF;1P;20;;;;;;;89;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlay2T;Derivadas de Balón Parado (Nº);Athletic Club;2P;9;;;;;;;33;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlay2T;Derivadas de Balón Parado (Nº);Getafe CF;2P;9;;;;;;;89;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlayP2T;Derivadas de Balón Parado (%);Athletic Club;2P;17,647058823529413;;;;;;;33;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlayP2T;Derivadas de Balón Parado (%);Getafe CF;2P;23,076923076923077;;;;;;;89;11111
FASE OFENSIVA DE CONSTRUCCIÓN (INICIO + CANALIZACIÓN);TeamPossessionsSetPlaySuccessP2T;Derivadas deBalón Parado (% Éxito);Athletic Club;2P;0;;;;;;;33;11111
