match_id,temporada,competicion,fecha_procesado
28960a84-72b6-4a31-a9aa-74519b6e1718,Temporada 24-25,La Liga,2025-06-20T17:18:45.795856
39d189e2-4078-4df0-8082-d2efc3983084,Temporada 24-25,La Liga 2,2025-06-20T17:18:56.419554
af0fed2e-7fd9-4e4c-9093-bae8af315f0d,Temporada 23-24,La Liga,2025-06-20T17:19:07.087184
052af8c9-7c26-4515-88db-6fac006d1ec4,Temporada 23-24,La Liga 2,2025-06-20T17:19:16.645830
