CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldP;Posesión Balón 1/2 campo propio (%);Sevilla FC;Total Partido;78,52644836272042;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldMinutes;Posesión Balón 1/2 campo propio (Min.);UD Las Palmas;Total Partido;11;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Sevilla FC;Total Partido;20;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);UD Las Palmas;Total Partido;19;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Sevilla FC;Total Partido;47;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsOpponentField;Posesión Balón 1/2 campo rival (Nº);UD Las Palmas;Total Partido;50;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsOpponentField;Posesión Balón 1/2 campo rival (Nº);Sevilla FC;Total Partido;28;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldP;Posesión Balón 1/2 campo rival (%);UD Las Palmas;Total Partido;54,27609427609427;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldP;Posesión Balón 1/2 campo rival (%);Sevilla FC;Total Partido;21,4735516372796;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldMinutes;Posesión Balón 1/2 campo propio (Min.);UD Las Palmas;Total Partido;13;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Sevilla FC;Total Partido;5;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);UD Las Palmas;Total Partido;26;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Sevilla FC;Total Partido;41;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To15;Posesión Balón minuto 0 a minuto 15 (%);UD Las Palmas;Total Partido;43,327556325823224;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To15;Posesión Balón minuto 0 a minuto 15 (%);Sevilla FC;Total Partido;56,672443674176776;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To30;Posesión Balón minuto 0 a minuto 30 (%);UD Las Palmas;Total Partido;49,107142857142854;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To30;Posesión Balón minuto 0 a minuto 30 (%);Sevilla FC;Total Partido;50,892857142857146;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To45;Posesión Balón minuto 0 a minuto 45 (%);UD Las Palmas;Total Partido;52,56045519203414;;;;62;11113
