CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;254,745;3;S. Gómez;723;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;;19;Sánchez;123;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;0;18;Aguado;1539;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;;14;B. Olivan;116;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;;5;F. Calero;455;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;0;31;A. Roca;31649;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;0;24;Cardona;10745;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;0;17;Jofre;22084;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;;35;Bauza;34749;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;0;20;Král;9948;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween0And15;Corriendo;RCD Espanyol;0-15;;32;Omar;33508;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;321,4996;2;L. Pérez;594;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;261,5361;22;L. Rosa;29994;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;480,2408;15;Cömert;3276;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;377,0319;21;Amallah;4360;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;210,709;6;Boyomo;22146;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;363,4425;11;Moro;21950;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;153,1712;5;Javi Sánchez;1750;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;382,0163;7;M. Sylla;3814;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;501,0481;19;Amath;846;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;527,8038;8;Kike Pérez;1831;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;0;20;S. Juric;18767;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;0;3;D. Torres;29274;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;0;4;V. Meseguer;7057;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;;32;Koke;34775;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;;9;Marcos André;2300;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;0;10;I. Sánchez;1175;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;;18;D. Machis;246;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;;17;Biuk;34063;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;;16;C. De La Hoz;20;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;0;28;Chuki;32310;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;Real Valladolid CF;15-30;;30;R. Chasco;36474;51;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;RCD Espanyol;15-30;327,1763;23;El Hilali;25317;36;11118
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceRunningBetween15And30;Corriendo;RCD Espanyol;15-30;385,6055;7;Puado;1654;36;11118
