CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);Real Sociedad;Total Partido;32,76864308254443;;;;47;11117
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);Rayo Vallecano;Total Partido;0;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsOwnField;Posesión Balón 1/2 campo propio (Nº);Real Sociedad;Total Partido;74;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsOwnField;Posesión Balón 1/2 campo propio (Nº);Rayo Vallecano;Total Partido;49;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldP;Posesión Balón 1/2 campo propio (%);Real Sociedad;Total Partido;68,90707188778491;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldP;Posesión Balón 1/2 campo propio (%);Rayo Vallecano;Total Partido;57,21096543504172;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Real Sociedad;Total Partido;19;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Rayo Vallecano;Total Partido;8;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Real Sociedad;Total Partido;39;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Rayo Vallecano;Total Partido;0;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsOpponentField;Posesión Balón 1/2 campo rival (Nº);Real Sociedad;Total Partido;34;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsOpponentField;Posesión Balón 1/2 campo rival (Nº);Rayo Vallecano;Total Partido;42;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldP;Posesión Balón 1/2 campo rival (%);Real Sociedad;Total Partido;31,092928112215084;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldP;Posesión Balón 1/2 campo rival (%);Rayo Vallecano;Total Partido;42,789034564958286;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Real Sociedad;Total Partido;8;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Rayo Vallecano;Total Partido;5;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Real Sociedad;Total Partido;52;;;;47;11117
