CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;573,883;12;Samu;9012;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;642,2098;7;Muriqi;11566;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;604,9675;23;Maffeo;859;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;540,5739;14;Dani Rodríguez;14;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;774,5123;22;J. Mojica;853;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;610,4905;21;A. Raillo;1317;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;558,987;10;S. Darder;813;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;558,8871;11;Asano;4041;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;491,0287;5;Mascarell;12597;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;625,4529;24;Valjent;1955;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;;2;Mateu Jaume;8112;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;0;17;Larin;10030;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;;3;Toni Lato;1096;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;;9;Abdón;1356;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;;4;V.d. Heyden;29509;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;0;8;Morlanes;1531;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;0;6;Copete;7102;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;0;18;Antonio Sánchez;2375;40;11114
METROS RECORRIDOS A DIFERENTES INTENSIDADES;PlayerDistanceWalkingBetween30And45;Caminando;RCD Mallorca;30-45;;33;D. Luna;31667;40;11114
